=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M=10  trial   7/50  ARI=+0.292  n_docs= 40  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M=10  trial   8/50  ARI=+0.511  n_docs= 40  authors=['kaj_sotala', 'neel-nanda-1', 'ruby', 'zvi']
  M=10  trial   9/50  ARI=+0.339  n_docs= 40  authors=['johnswentworth', 'ricraz', 'ruby', 'steve2152']
  M=10  trial  10/50  ARI=+0.415  n_docs= 40  authors=['abramdemski', 'johnswentworth', 'neel-nanda-1', 'ricraz']
  M=10  trial  11/50  ARI=+0.311  n_docs= 40  authors=['jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M=10  trial  12/50  ARI=+0.221  n_docs= 40  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'ricraz']
  M=10  trial  13/50  ARI=+0.572  n_docs= 40  authors=['johnswentworth', 'kaj_sotala', 'raemon', 'ricraz']
  M=10  trial  14/50  ARI=+0.146  n_docs= 40  authors=['jessica-liu-taylor', 'raemon', 'ruby', 'zvi']
  M=10  trial  15/50  ARI=+0.601  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'zvi']
  M=10  trial  16/50  ARI=+0.402  n_docs= 40  authors=['jessica-liu-taylor', 'raemon', 'ricraz', 'zvi']
  M=10  trial  17/50  ARI=+0.461  n_docs= 40  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'ricraz']
  M=10  trial  18/50  ARI=+0.630  n_docs= 40  authors=['neel-nanda-1', 'ruby', 'steve2152', 'zvi']
  M=10  trial  19/50  ARI=+0.863  n_docs= 40  authors=['abramdemski', 'johnswentworth', 'neel-nanda-1', 'steve2152']
  M=10  trial  20/50  ARI=+0.654  n_docs= 40  authors=['kaj_sotala', 'neel-nanda-1', 'steve2152', 'zvi']
  M=10  trial  21/50  ARI=+0.431  n_docs= 40  authors=['kaj_sotala', 'neel-nanda-1', 'raemon', 'ruby']
