============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  200  trial 45/50  ARI=+0.059  authors=['ricraz', 'johnswentworth', 'ruby', 'abramdemski', 'neel-nanda-1']
  N=  200  trial 46/50  ARI=+0.079  authors=['kaj_sotala', 'jessica-liu-taylor', 'steve2152', 'johnswentworth', 'neel-nanda-1']
  N=  200  trial 47/50  ARI=+0.262  authors=['zvi', 'ruby', 'jessica-liu-taylor', 'neel-nanda-1', 'ricraz']
  N=  200  trial 48/50  ARI=+0.137  authors=['jessica-liu-taylor', 'kaj_sotala', 'johnswentworth', 'zvi', 'ruby']
  N=  200  trial 49/50  ARI=+0.108  authors=['kaj_sotala', 'steve2152', 'zvi', 'ricraz', 'ruby']
  N=  200  trial 50/50  ARI=+0.091  authors=['ricraz', 'ruby', 'raemon', 'zvi', 'kaj_sotala']
  feature cache hit -> src\kmeans\cache\cleaned_10\a0308aa160e3308d.npz
  N=  500  trial  1/50  ARI=+0.236  authors=['jessica-liu-taylor', 'kaj_sotala', 'abramdemski', 'ricraz', 'raemon']
  N=  500  trial  2/50  ARI=+0.305  authors=['abramdemski', 'steve2152', 'kaj_sotala', 'ricraz', 'raemon']
  N=  500  trial  3/50  ARI=+0.390  authors=['kaj_sotala', 'zvi', 'steve2152', 'ruby', 'raemon']
  N=  500  trial  4/50  ARI=+0.206  authors=['jessica-liu-taylor', 'abramdemski', 'neel-nanda-1', 'kaj_sotala', 'raemon']
  N=  500  trial  5/50  ARI=+0.232  authors=['neel-nanda-1', 'johnswentworth', 'kaj_sotala', 'jessica-liu-taylor', 'zvi']
  N=  500  trial  6/50  ARI=+0.223  authors=['kaj_sotala', 'ricraz', 'jessica-liu-taylor', 'raemon', 'johnswentworth']
  N=  500  trial  7/50  ARI=+0.296  authors=['zvi', 'kaj_sotala', 'johnswentworth', 'abramdemski', 'jessica-liu-taylor']
  N=  500  trial  8/50  ARI=+0.234  authors=['ricraz', 'ruby', 'johnswentworth', 'jessica-liu-taylor', 'steve2152']
  N=  500  trial  9/50  ARI=+0.286  authors=['ricraz', 'ruby', 'zvi', 'abramdemski', 'raemon']
  N=  500  trial 10/50  ARI=+0.251  authors=['abramdemski', 'zvi', 'ruby', 'raemon', 'jessica-liu-taylor']
  N=  500  trial 11/50  ARI=+0.487  authors=['raemon', 'ricraz', 'steve2152', 'abramdemski', 'ruby']
  N=  500  trial 12/50  ARI=+0.189  authors=['johnswentworth', 'jessica-liu-taylor', 'neel-nanda-1', 'kaj_sotala', 'ruby']
  N=  500  trial 13/50  ARI=+0.179  authors=['neel-nanda-1', 'kaj_sotala', 'johnswentworth', 'steve2152', 'ricraz']
  N=  500  trial 14/50  ARI=+0.473  authors=['neel-nanda-1', 'ricraz', 'jessica-liu-taylor', 'raemon', 'steve2152']
  N=  500  trial 15/50  ARI=+0.197  authors=['steve2152', 'raemon', 'ruby', 'ricraz', 'kaj_sotala']
  N=  500  trial 16/50  ARI=+0.202  authors=['raemon', 'kaj_sotala', 'ruby', 'jessica-liu-taylor', 'steve2152']
  N=  500  trial 17/50  ARI=+0.220  authors=['steve2152', 'jessica-liu-taylor', 'abramdemski', 'ruby', 'neel-nanda-1']
  N=  500  trial 18/50  ARI=+0.261  authors=['ricraz', 'kaj_sotala', 'neel-nanda-1', 'johnswentworth', 'jessica-liu-taylor']
  N=  500  trial 19/50  ARI=+0.244  authors=['zvi', 'steve2152', 'johnswentworth', 'raemon', 'neel-nanda-1']
  N=  500  trial 20/50  ARI=+0.359  authors=['steve2152', 'jessica-liu-taylor', 'ricraz', 'zvi', 'kaj_sotala']
  N=  500  trial 21/50  ARI=+0.350  authors=['ricraz', 'zvi', 'steve2152', 'ruby', 'kaj_sotala']
  N=  500  trial 22/50  ARI=+0.167  authors=['ricraz', 'raemon', 'abramdemski', 'kaj_sotala', 'zvi']
